elapsed,len,lat,lon,index
00:00:00,57,51.0526930,-114.0698720,0
00:00:30,57,51.0534810,-114.0696970,0
00:01:00,57,51.0539320,-114.0686690,0
00:01:30,57,51.0540640,-114.0670340,0
00:02:00,57,51.0535740,-114.0656990,0
00:02:30,57,51.0529060,-114.0643100,0
00:03:00,57,51.0525760,-114.0629690,0
00:03:30,57,51.0520870,-114.0617910,0
00:04:00,57,51.0515080,-114.0606660,0
00:04:30,57,51.0511420,-114.0592640,0
00:05:00,57,51.0508980,-114.0579340,0
00:05:30,57,51.0505990,-114.0564520,0
00:06:00,57,51.0503650,-114.0553130,0
00:06:30,57,51.0500480,-114.0541470,0
00:07:00,57,51.0496740,-114.0528810,0
00:07:30,57,51.0491280,-114.0518750,0
00:08:00,57,51.0487200,-114.0507480,0
00:08:30,57,51.0482530,-114.0495200,0
00:09:00,57,51.0477440,-114.0483050,0
00:09:30,57,51.0476590,-114.0472130,0
00:10:00,57,51.0484700,-114.0467420,0
00:10:30,57,51.0491410,-114.0466950,0
00:11:00,57,51.0493890,-114.0477420,0
00:11:30,57,51.0496240,-114.0488680,0
00:12:00,57,51.0498320,-114.0500270,0
00:12:30,57,51.0502710,-114.0512210,0
00:13:00,57,51.0506120,-114.0522620,0
00:13:30,57,51.0508590,-114.0517830,0
00:14:00,57,51.0515420,-114.0515860,0
00:14:30,57,51.0518610,-114.0526360,0
00:15:00,57,51.0520090,-114.0536060,0
00:15:30,57,51.0520680,-114.0546300,0
00:16:00,57,51.0525050,-114.0556400,0
00:16:30,57,51.0526840,-114.0563820,0
00:17:00,57,51.0531080,-114.0569600,0
00:17:30,57,51.0534380,-114.0573500,0
00:18:00,57,51.0541850,-114.0575850,0
00:18:30,57,51.0543570,-114.0586150,0
00:19:00,57,51.0544820,-114.0597410,0
00:19:30,57,51.0548740,-114.0606840,0
00:20:00,57,51.0551770,-114.0618430,0
00:20:30,57,51.0553310,-114.0622470,0
00:21:00,57,51.0553310,-114.0622470,0
00:21:30,57,51.0558520,-114.0625770,0
00:22:00,57,51.0564990,-114.0631540,0
00:22:30,57,51.0570680,-114.0639180,0
00:23:00,57,51.0577880,-114.0646070,0
00:23:30,57,51.0581240,-114.0656210,0
